"episode_number","title","date"
10,"Trippie Redd",2018-07-21
9,"Bhad Bhabie",2018-03-01
8,"Rico Recklezz",2017-09-11
7,"6IX9INE",2017-07-25
6,"Matt Ox",2017-06-21
5,"Famous Dex",2017-01-19
4,"Riley Reid",2016-06-28
3,"XXXTentacion",2016-04-28
2,"Lil Yachty",2016-02-15
1,"The Suicide Boys",2015-12-05
