"episode_number","title","date"
2010,"Marc Andreesen",2023-07-19
1558,"Tristan Harris",2020-10-30
1554,"Kanye West",2020-10-24
1441,"Robert Downey Jr.",2020-10-15
1368,"Edward Snowden",2020-01-01
1330,"Bernie Sanders",2019-08-06
1309,"Naval Ravikant",2019-06-24
1245,"Andrew Yang",2019-02-12
1236,"Jack Dorsey",2019-01-22
1169,"Elon Musk",2018-09-26
