"episode_number","title","date"
50,"Michael Kearns: Algorithmic Fairness, Bias, Privacy, and Ethics in Machine Learning",2019-11-19
49,"Elon Musk: Neuralink, AI, Autopilot, and the Pale Blue Dot",2019-11-12
48,"Bjarne Stroustrup: C++",2019-11-07
47,"Sean Carroll: Quantum Mechanics and the Many-Worlds Interpretation",2019-11-01
46,"Garry Kasparov: Chess, Deep Blue, AI, and Putin",2019-10-27
45,"Michio Kaku: Future of Humans, Aliens, Space Travel & Physics",2019-10-22
44,"David Ferrucci: IBM Watson, Jeopardy & Deep Conversations with AI",2019-10-11
43,"Gary Marcus: Toward a Hybrid of Deep Learning and Symbolic AI",2019-10-03
42,"Peter Norvig: Artificial Intelligence: A Modern Approach",2019-09-30
41,"Leonard Susskind: Quantum Mechanics, String Theory, and Black Holes",2019-09-26
40,"Regina Barzilay: Deep Learning for Cancer Diagnosis and Treatment",2019-09-23
39,"Colin Angle: iRobot",2019-09-19
38,"François Chollet: Keras, Deep Learning, and the Progress of AI",2019-09-14
37,"Vijay Kumar: Flying Robots",2019-09-08
36,"Yann LeCun: Deep Learning, Convolutional Neural Networks, and Self-Supervised Learning",2019-08-31
35,"Jeremy Howard: fast.ai Deep Learning Courses and Research",2019-08-27
34,"Pamela McCorduck: Machines Who Think and the Early Days of AI",2019-08-23
33,"Keoki Jackson: Lockheed Martin",2019-08-19
32,"Paola Arlotta: Brain Development from Stem Cell to Organoid",2019-08-12
31,"George Hotz: Comma.ai, OpenPilot, and Autonomous Vehicles",2019-08-05
30,"Kevin Scott: Microsoft CTO",2019-08-01
29,"Gustav Soderstrom: Spotify",2019-07-29
28,"Chris Urmson: Self-Driving Cars at Aurora, Google, CMU, and DARPA",2019-07-22
27,"Kai-Fu Lee: AI Superpowers – China and Silicon Valley",2019-07-15
26,"Sean Carroll: The Nature of the Universe, Life, and Intelligence",2019-07-10
25,"Jeff Hawkins: Thousand Brains Theory of Intelligence",2019-07-01
24,"Rosalind Picard: Affective Computing, Emotion, Privacy, and Health",2019-06-17
23,"Gavin Miller: Adobe Research",2019-06-10
22,"Rajat Monga: TensorFlow",2019-06-03
21,"Chris Lattner: Compilers, LLVM, Swift, TPU, and ML Accelerators",2019-05-13
20,"Oriol Vinyals: DeepMind AlphaStar, StarCraft, Language, and Sequences",2019-04-29
19,"Ian Goodfellow: Generative Adversarial Networks (GANs)",2019-04-18
18,"Elon Musk: Tesla Autopilot",2019-04-12
17,"Greg Brockman: OpenAI and AGI",2019-04-03
16,"Eric Weinstein: Revolutionary Ideas in Science, Math, and Society",2019-03-20
15,"Leslie Kaelbling: Reinforcement Learning, Planning, and Robotics",2019-03-12
14,"Kyle Vogt: Cruise Automation",2019-02-07
13,"Tomaso Poggio: Brains, Minds, and Machines",2019-01-19
12,"Tuomas Sandholm: Poker and Game Theory",2018-12-28
11,"Juergen Schmidhuber: Godel Machines, Meta-Learning, and LSTMs",2018-12-23
10,"Pieter Abbeel: Deep Reinforcement Learning",2018-12-16
9,"Stuart Russell: Long-Term Future of AI",2018-12-09
8,"Eric Schmidt: Google",2018-12-04
7,"Jeff Atwood: Stack Overflow and Coding Horror",2018-11-29
6,"Guido van Rossum: Python",2018-11-22
5,"Vladimir Vapnik: Statistical Learning",2018-11-16
4,"Yoshua Bengio: Deep Learning",2018-10-20
3,"Steven Pinker: AI in the Age of Reason",2018-10-17
2,"Christof Koch: Consciousness",2018-09-01
1,"Max Tegmark: Life 3.0",2018-08-26
