"episode_number","title","date"
335,"Fiona Hill: Vladimir Putin and Donald Trump",2022-11-04
334,"Abbas Amanat: Iran Protests, Mahsa Amini, History, CIA & Nuclear Weapons",2022-11-02
333,"Andrej Karpathy: Tesla AI, Self-Driving, Optimus, Aliens, and AGI",2022-10-29
332,"Kanye ‘Ye’ West Interview",2022-10-24
331,"Balaji Srinivasan: How to Fix Government, Twitter, Science, and the FDA",2022-10-20
330,"Hikaru Nakamura: Chess, Magnus, Kasparov, and the Psychology of Greatness",2022-10-17
329,"Kate Darling: Social Robots, Ethics, Privacy and the Future of MIT",2022-10-15
328,"John Danaher: Submission Grappling, ADCC, Animal Combat, and Knives",2022-10-10
327,"GothamChess: Hans Niemann, Magnus Carlsen, Cheating Scandal & Chess Bots",2022-10-07
326,"Annaka Harris: Free Will, Consciousness, and the Nature of Reality",2022-10-05
325,"Michael Levin: Biology, Life, Aliens, Evolution, Embryogenesis & Xenobots",2022-10-01
324,"Daniel Negreanu: Poker",2022-09-27
323,"Will Sasso: Comedy, MADtv, AI, Friendship, Madness, and Pro Wrestling",2022-09-24
322,"Rana el Kaliouby: Emotion AI, Social Robots, and Self-Driving Cars",2022-09-21
321,"Ray Kurzweil: Singularity, Superintelligence, and Immortality",2022-09-17
320,"Christopher Capozzola: World War I, Ideology, Propaganda, and Politics",2022-09-14
319,"Botez Sisters: Chess, Streaming, and Fame",2022-09-09
318,"Nick Lane: Origin of Life, Evolution, Aliens, Biology, and Consciousness",2022-09-07
317,"John Vervaeke: Meaning Crisis, Atheism, Religion & the Search for Wisdom",2022-09-04
316,"Noam Chomsky: Putin, Ukraine, China, and Nuclear War",2022-08-31
315,"Magnus Carlsen: Greatest Chess Player of All Time",2022-08-27
314,"Liv Boeree: Poker, Game Theory, AI, Simulation, Aliens & Existential Risk",2022-08-24
313,"Jordan Peterson: Life, Death, Power, Fame, and Meaning",2022-08-19
312,"Duncan Trussell: Comedy, Sentient Robots, Suffering, Love & Burning Man",2022-08-16
311,"Magatte Wade: Africa, Capitalism, Communism, and the Future of Humanity",2022-08-13
310,"Andrew Bustamante: CIA Spy",2022-08-08
309,"John Carmack: Doom, Quake, VR, AGI, Programming, Video Games, and Rockets",2022-08-04
308,"Ryan Graves: UFOs, Fighter Jets, and Aliens",2022-08-01
307,"Brian Armstrong: Coinbase, Cryptocurrency, and Government Regulation",2022-07-29
306,"Oriol Vinyals: Deep Learning and Artificial General Intelligence",2022-07-26
305,"Martin Rees: Black Holes, Alien Life, Dark Matter, and the Big Bang",2022-07-23
304,"Bishop Robert Barron: Christianity and the Catholic Church",2022-07-20
303,"Steve Keen: Marxism, Capitalism, and Economics",2022-07-17
302,"Richard Haier: IQ Tests, Human Intelligence, and Group Differences",2022-07-14
301,"Jack Barsky: KGB Spy",2022-07-09
