"episode_number","title","date"
5,"Ariana Madix: The Vanderpump Affair",2023-05-24
4,"Anitta: Secrets to Great Sex, Twerking, and Blow Jobs",2023-05-21
3,"Priyanka Chopra Jonas: Falling in Love With Yourself & Then Your Soulmate",2023-05-17
2,"Gwyneth Paltrow: The Ultimate Dating Roster",2023-05-10
1,"I’m Engaged",2023-04-26
