"episode_number","title","date"
348,"E350 Jake Paul Beats Silva, Hates Logan & KSI’s Friendship, Reveals Next Opponent",2022-11-01
347,"E349 Shawn Michaels On Logan Paul VS Roman Reigns, Triple H Saving His Life, WWE Future",2022-10-25
346,"E348 Gabriel Iglesias Confronts Travis Scott, Obesity, Last Words To Robin Williams",2022-10-18
345,"E347 Sebastian Maniscalco’s Beef With Joe Rogan & Jake Paul’s Team 10 House",2022-10-11
344,"E346 Shaq Talks Kobe Regrets, Why LeBron Isn’t GOAT, Says Logan Is Next Jeffrey Dahmer",2022-10-04
343,"E345 Logan Paul Fires Co-Hosts, Exposes New Girlfriend, Bashes Deji VS. Mayweather",2022-09-27
342,"E344 Michael Blackson On Kevin Hart Beef, Nick Cannon’s Addiction, Pulling Side Chicks",2022-09-20
341,"E343 Roman Reigns Embarrasses Logan Paul, Reveals John Cena Beef & Fighting The Rock",2022-09-13
340,"E342 Roman Atwood On Quitting YouTube, Surviving Stalker FBI Raid, Having 3 Wives",2022-09-06
339,"E341 Logan Paul’s Message To Andrew Tate and KSI",2022-08-30
338,"E340 Charlamagne Reveals Lana Rhoades’ Baby Daddy, Calls Out 6ix9ine & Post Malone",2022-08-23
337,"E339 Markiplier Tells Logan Paul How To Make $38M From YouTube, Death Of Unus Annus",2022-08-16
336,"E338 Jake Paul Rips KSI’s Boxing Career, Exposes DM From Andrew Tate",2022-08-09
335,"E337 Triple H On Logan Paul Joining WWE, Rivalry With The Rock & Stone Cold",2022-08-02
334,"E336 Dane Cook’s Brother Stole $15M From Him, Andrew Schulz & Dave Chappelle Censorship",2022-07-26
333,"E335 Logic Raps LIVE, Comes Out Of Retirement, Exposes 6ix9ine As A Fraud",2022-07-19
332,"E334 Our New Co-Host Is Pregnant, Logan Paul Signs With WWE, Mike Offends A Fan",2022-07-12
331,"E333 The Sidemen Reveal KSI’s Problem, Jake Paul Diss Track, UK vs. American Women",2022-07-05
330,"E332 Kevin O’Leary Trashes Logan Paul’s Company, Reveals Biggest Shark Tank Regrets",2022-06-28
329,"E331 JiDion On KSI Changing His Life, Pokimane Twitch Ban, Hooking Up With Lizzo",2022-06-21
328,"E330 Jeffree Star On Hooking Up With Kanye West, Fall Of Shane Dawson & James Charles",2022-06-14
327,"E329 Beeple Sold An NFT For $69,000,000 And Embarrassed Logan Paul",2022-06-07
326,"E328 Liam Payne Wants To Fight Justin Bieber & KSI, Reveals Why One Direction Broke Up",2022-05-31
325,"E327 Snoop Dogg’s Last Moments With 2Pac & Kobe, Betting On Jake Paul",2022-05-24
324,"E326 Logan Paul Fires Co-Host, Loses Millions On NFTs (Shocking)",2022-05-17
323,"E325 The Liver King Calls Out Joe Rogan, Eats Raw Liver LIVE, Rejects Steroid Rumors",2022-05-10
322,"E324 Gary Vee On Discovering Logan Paul, Kobe Bryant Regrets, $100M+ NFT Collection",2022-05-03
321,"E323 Logan Paul Pukes On Model At Coachella, Chokes Out Greg Paul (w/ Brendan Schaub)",2022-04-26
320,"E322 Jorge Masvidal On Hatred For Colby Covington & Jake Paul",2022-04-19
319,"E321 IMPAULSIVE LIVE: Logan Paul Breaks Hand, Ends Boxing Career",2022-04-12
318,"E320 Logan Paul’s WrestleMania Debut, Joined By Superstars Sasha Banks & Becky Lynch",2022-04-05
317,"E319 The Chainsmokers On Unreleased Juice WRLD, Camila Cabello, Finding Halsey",2022-03-29
316,"E318 Steve Aoki On Partying With Kanye West & Making More Money With NFTs Than Music",2022-03-22
315,"E317 Dana White Responds To Donald Trump, Nelk Boys & Jake Paul",2022-03-15
314,"E316 Tony Robbins Reveals How To Live Forever",2022-03-08
313,"E315 Oliver Tree To Logan Paul: “I Don’t F*** With You”",2022-03-01
312,"E314 The Arnold Schwarzenegger Interview",2022-02-22
311,"E313 Logan Paul Is In Love",2022-02-15
310,"E312 Mike Posner Explains Why He Took A Pill In Ibiza",2022-02-01
309,"E311 Antonio Brown Quits Football",2022-01-25
308,"E310 Lana Rhoades’ Baby, $3.5M Pokémon Scam, Exposing Girls That Slid In Logan’s DMs",2022-01-18
307,"E309 The Return Of KSI",2022-01-11
306,"E308 She Cheated On Me With A Billionaire",2022-01-04
305,"E307 Never Sleep With Her On The First Date",2021-12-28
304,"E306 Jake Paul Is The Next Muhammad Ali",2021-12-21
303,"E305 The Island Boys Interview",2021-12-14
302,"E304 The Jake Paul Interview: Tommy Fury Backs Out",2021-12-07
301,"E303 Alec Monopoly Vandalized Our Studio",2021-11-30
300,"E302 Hooking Up With My Best Friend’s Ex",2021-11-23
